Account,Quantity(GOAT),Tokens Held,SOL Balance,Wallet Age
G2GagoL5PsyvqpqqNduARTSyFsp12TJhKWwaddrj5ra7,3005000.00,,,
4kDXMdsH7BAm8PRivD7zpWK2piiVNR6u6MNsN7XHGgcg,3001000.00,,,
5iy7Sq8CwnPnu28zc33Tsnu55EinB3tNBPsFP98sthpN,2962605.24,,,
GNbptbwtuDSri8mL8Rmzhz1LQASzL4pV5b33PGYkUdhQ,2939500.00,,,
6Z6RJJGrmVyndcPyTFhmLYHkHttiYtTccKpXFV9r2237,2902262.15,,,
2Ejnns2Fd5gsZdFJbnkZmQEwbrgoiMc2ikKcS2z2Ps3e,2823411.42,,,
CvemSwpXW35z5CJ3uszabERGan45onP6brfgBiEAvtaC,2819024.61,,,
5zTnyAUyySr1ajgBGi3XU469ZqvJ1GYmKj9Dyecqkqa8,2747751.49,,,
Hx1PKfEsx2UaEFGGv5cAqQLZR4oj1pp9bEsnU611YWxs,2735498.66,,,
6jMQdtwEAfoBvKdE4HYGTdHCRSxYfCrgPmjQ6rnGr5mn,2631436.70,,,
8vXe27BpKsHMfBxR8TXmZ9sa91wL6y9NkJobDxQQYTtR,2528133.14,,,
5qi3Bfa8EaydQDZQ7u6qjauqefuDJNFcFH75YBr7zHuJ,2500469.84,,,
8AByvcbajbjmuD1xez4ahgzoUp7ovB5wJE6znQKST8Hz,2500000.00,,,
GSkMqLqtUDsgSzzMnBwkSdTdghe5AnoPB97BFs4dZxwJ,2438012.82,,,
4JodrSMKaqGFgfJpbioaiN7Dc2pA6PLuiDZo4n41eT4h,2432793.78,,,
7Vu4arPsoT4g4XKpcqBujDM5t7et1u7JLqYCqHLipBnM,2423049.50,,,
BWsYpL9bKzJ98DN8dZDoqZMZ5Ab3HS6muTz6QJvyZmEz,2413749.67,,,
J5pZQPTunqDU3VH7utCvpqPjz6PnDcR5cHXtQQXmJ8EF,2407986.45,,,
EG857CG7v4prg9ocw7Lk5hZao7JpzdojeRi6h23x6y88,2389013.28,,,
FcH9X4WtgZeJ6dkDgBehfzoxAoDg8XgjpxNg8u9JZrTk,2378838.73,,,
73FtSUqg4sS5Kxha6QKnRBW82frxnkKBPqhhkza2gsVu,2177937.22,,,
HvttS1XkHQvxJTj78dq3AyMiRxqPg6HarpgraMM2kjhP,2161370.86,,,
EHA62butRJTjgD6LJ5WRXNR8rsqj72K4NECGwC6hAFL3,2158589.05,,,
FZ1t8TZtx7VSCQdBsxvFJiezj9paUBF6Ub7RKA2eTGyE,2154167.10,,,
4kguEV9YRtxuMiUJicpiUQ1itMxosEba4BHCfUTZJP3H,2111154.29,,,
GqvLnHvrPaNUS3ubo7tq6WvrpFowxdV2D9y5UwMSe1TJ,2004288.87,,,
